HARGA,LT,LB,JKT,JKM,GRS
4500000000,235.0,300,4,4,1
18500000000,1000.0,700,4,3,1
21500000000,603.0,400,4,1,1
21000000000,358.0,500,4,5,1
24000000000,450.0,1050,5,3,0
15000000000,225.0,425,5,4,1
21600000000,800.0,500,4,2,1
12000000000,477.0,970,5,4,1
5000000000,185.0,255,4,4,1
7700000000,188.0,300,3,3,1
8700000000,246.0,350,3,3,1
5200000000,464.0,400,5,5,1
30000000000,1017.0,500,5,3,1
4500000000,258.0,150,2,2,0
30000000000,1362.5,600,7,7,1
28000000000,1100.0,800,5,4,1
14200000000,474.0,455,3,3,1
29000000000,1019.0,800,6,4,1
6900000000,389.0,400,4,3,1
21900000000,377.0,266,4,3,1
14500000000,212.0,363,3,4,1
5300000000,129.0,148,3,3,0
7900000000,181.0,330,3,4,0
4500000000,151.0,200,4,4,1
17000000000,500.0,600,4,3,0
14500000000,240.0,450,4,4,1
20000000000,1040.0,600,4,3,1
5900000000,160.0,176,4,3,1
20000000000,1026.0,750,6,4,1
2500000000,94.0,180,4,4,0
18500000000,421.0,450,4,3,1
20000000000,472.0,650,4,3,0
6500000000,295.0,300,4,4,1
5000000000,225.0,245,3,3,0
17000000000,465.0,640,4,4,1
15000000000,500.0,600,5,5,1
10000000000,246.0,350,3,3,1
18000000000,700.0,500,5,4,1
36000000000,1147.0,900,5,6,1
35500000000,500.0,525,4,4,1
5250000000,190.0,320,4,3,1
13500000000,330.0,520,3,2,1
10700000000,604.0,550,5,5,1
18000000000,415.0,470,5,4,1
21000000000,817.0,500,4,4,1
10000000000,227.0,400,4,3,1
6500000000,215.0,320,4,3,1
4700000000,260.0,280,6,4,1
17500000000,518.0,450,5,7,1
19750000000,500.0,536,5,5,1
30000000000,317.0,450,4,4,1
15000000000,585.0,300,4,2,0
25000000000,1050.0,1000,4,4,0
11100000000,230.0,568,4,4,1
20000000000,780.0,500,4,3,0
5300000000,330.0,250,10,4,0
39000000000,973.0,1000,4,4,0
38000000000,1180.0,800,8,9,1
18000000000,216.0,384,4,4,1
23000000000,558.0,563,8,6,1
26000000000,1083.0,1050,6,6,1
23000000000,693.0,474,5,4,1
4750000000,161.0,250,4,2,0
15900000000,400.0,500,4,5,1
5500000000,230.0,300,3,3,0
9000000000,159.0,380,3,3,1
19000000000,817.0,600,5,4,1
22600000000,754.0,500,4,4,1
33000000000,585.0,900,7,6,1
12000000000,600.0,500,4,3,1
15000000000,385.0,500,4,5,1
17500000000,518.0,450,5,7,1
1870000000,22.0,90,3,2,0
17500000000,800.0,800,5,5,0
5800000000,144.0,285,4,3,1
39000000000,450.0,650,7,5,1
6500000000,399.0,350,4,3,1
12000000000,615.0,450,4,4,1
8800000000,527.0,600,3,3,0
7730000000,225.0,245,3,3,1
500000000,60.0,60,2,1,0
14400000000,474.0,450,4,3,1
16000000000,407.0,575,5,4,1
39875000000,973.0,1050,4,4,1
11000000000,180.0,415,4,5,1
5500000000,144.0,325,3,4,0
16000000000,350.0,600,4,4,0
21000000000,1042.0,550,7,6,1
11200000000,246.0,345,6,5,1
5500000000,214.0,245,5,3,0
6500000000,250.0,214,4,3,0
16500000000,472.0,650,4,3,1
10500000000,230.0,300,10,10,1
10000000000,227.0,400,6,4,1
10500000000,876.0,700,7,4,0
15000000000,400.0,450,5,4,1
8950000000,246.0,340,6,3,1
22000000000,1000.0,800,5,4,1
6800000000,133.0,331,4,3,1
5200000000,347.0,300,5,4,0
20000000000,450.0,550,5,2,0
26000000000,700.0,887,4,5,0
15500000000,450.0,400,4,4,0
6900000000,625.0,500,4,4,1
2750000000,130.0,175,3,3,0
22000000000,455.0,570,4,5,1
9550000000,251.0,288,4,3,0
15000000000,520.0,500,4,4,1
15000000000,1055.0,650,8,5,1
39000000000,973.0,1050,4,4,1
17500000000,518.0,450,5,7,1
28000000000,1020.0,816,5,3,1
4650000000,124.0,220,4,3,1
6800000000,389.0,200,4,3,1
5900000000,214.0,245,5,3,0
14500000000,648.0,400,8,6,1
36000000000,1300.0,850,6,4,1
19500000000,520.0,500,5,4,1
5000000000,300.0,200,5,4,0
11100000000,282.0,383,4,2,1
14000000000,718.0,400,2,2,1
4950000000,135.0,250,3,4,1
8500000000,246.0,221,4,4,1
4700000000,110.0,250,4,3,0
14400000000,451.0,320,5,4,1
39875000000,1175.0,1050,5,6,1
6700000000,190.0,250,4,3,1
4400000000,201.0,300,4,3,0
6800000000,212.0,170,3,2,1
5800000000,150.0,171,3,3,0
14850000000,539.0,610,4,4,1
11000000000,180.0,420,4,5,1
17000000000,392.0,400,4,4,1
8250000000,174.0,220,3,3,1
8000000000,352.0,200,4,2,1
16000000000,407.0,500,4,4,1
5400000000,104.0,240,3,3,1
14000000000,407.0,800,4,3,1
25000000000,752.0,450,4,4,1
19000000000,380.0,600,4,4,1
1350000000,72.0,150,3,3,0
3500000000,156.0,95,4,3,1
14500000000,560.0,200,3,2,1
3500000000,100.0,186,4,3,1
2200000000,110.0,200,3,3,1
15500000000,1055.0,500,5,3,1
1300000000,65.0,108,3,2,1
1200000000,69.0,75,3,1,0
1310000000,51.0,60,2,2,0
2400000000,127.0,180,5,5,1
5500000000,234.0,115,2,2,1
15000000000,500.0,550,5,5,1
35500000000,1362.5,1000,6,6,1
3800000000,220.0,220,3,3,0
4970000000,154.0,300,6,4,1
10500000000,202.0,600,3,3,0
680000000,50.0,60,3,2,0
2570000000,107.0,120,3,3,0
14000000000,949.0,800,5,4,1
4600000000,201.0,350,4,3,1
4200000000,109.0,188,3,3,1
13500000000,465.0,365,5,5,1
700000000,60.0,52,3,2,1
1650000000,78.0,105,3,3,1
1300000000,86.0,135,3,2,0
39875000000,800.0,1050,7,6,1
11750000000,340.0,419,4,4,0
14900000000,291.0,400,4,4,0
39875000000,550.0,1050,5,5,1
1350000000,69.0,100,3,3,1
555000000,32.0,38,2,2,0
1200000000,60.0,70,3,2,1
2990000000,123.0,160,4,3,0
7500000000,150.0,350,3,3,1
